No.,Trade Test Centre,Accreditation Number,SAQA ID,Trade Title,Physical Address,Contact No,Email Address,Contact Person,Start Date,End Date
,Africa Skills Village Training and Management Services (Pty) Ltd,07-QCTO/AC-TTC191022230212,94100,Occupational Certificate: Welder,"2 Regency Drive, Route 21, Corporate Park Centurion Gauteng 0187",066 479 6987,Janet@africaskills.co.za,Janet Genis,19-Oct-22,18-Oct-27
,Akaf Bodyguards CC,06-QCTO/AC-TTC150224142039,91761,Occupational Certificate: Electrician,89A Leyds Street Rustenburg North West 0300,"0145923338
0839770774","training@akaf.co.za
akaf@webmail.co.za",Felix Anougba,15-Feb-24,14-Feb-29
,Akaf Bodyguards CC,06-QCTO/AC-TTC150224142039,91782,Occupational Certificate: Plumber,89A Leyds Street Rustenburg North West 0300,"0145923338
0839770774","training@akaf.co.za
akaf@webmail.co.za",Felix Anougba,15-Feb-24,14-Feb-29
,Akaf Bodyguards CC,06-QCTO/AC-TTC150224142039,93627,Occupational Certificate: Bricklayer,89A Leyds Street Rustenburg North West 0300,"0145923338
0839770774","training@akaf.co.za
akaf@webmail.co.za",Felix Anougba,15-Feb-24,14-Feb-29
,Akaf Bodyguards CC,06-QCTO/AC-TTC150224142039,94022,Occupational Certificate: Carpenter,89A Leyds Street Rustenburg North West 0300,"0145923338
0839770774","training@akaf.co.za
akaf@webmail.co.za",Felix Anougba,15-Feb-24,14-Feb-29
,ALPHA BSV (Pty) Ltd,03-QCTO/AC-TTC150224135130,97592,Occupational Certificate: Diesel Mechanic,"18 Progressus Street, Industrial
Upington Northern Cape 8801",870041471,"pta@attc-pta.co.za
sales@attc-pta.co.za",Eckson Chuma,15-Feb-24,14-Feb-29
,Amos/Kgaphamadi Community Organization NPO,AC-TTC120923145239,94100,Occupational Certificate: Welder,"Stand No: 50154, Ezakheni Kwa-Mhlanga Mpumalanga 1022",833337052,Amoskgaphadi@gmail.com,Nicholas Amos Jiyane,12-Sep-23,11-Sep-28
,Amos/Kgaphamadi Community Organization NPO,AC-TTC120923145239,102497,Occupational Certificate: Hairdresser,"Stand No: 50154, Ezakheni
Kwa-Mhlanga Mpumalanga 1022",833337052,Amoskgaphadi@gmail.com,Nicholas Amos Jiyane,12-Sep-23,11-Sep-28
,Arcelormittal South Africa Ltd,AC-TTC020823212158,94100,Occupational Certificate: Welder,2 Delfos Boulevard Vanderbijlpark Gauteng 1911,168893181,ansie.engelbrecht@arcelormittal.com,Nicolene van Emmenes,02-Aug-23,01-Aug-28
,Arcelormittal South Africa Ltd,AC-TTC020823212158,93626,Occupational Certificate: Boilermaker,2 Delfos Boulevard Vanderbijlpark Gauteng 1911,168893181,ansie.engelbrecht@arcelormittal.com,Nicolene van Emmenes,02-Aug-23,01-Aug-28
,Arcelormittal South Africa Ltd,AC-TTC020823212158,91761,Occupational Certificate: Electrician,2 Delfos Boulevard Vanderbijlpark Gauteng 1911,168893181,ansie.engelbrecht@arcelormittal.com,Nicolene van Emmenes,02-Aug-23,01-Aug-28
,Arcelormittal South Africa Ltd,AC-TTC020823212158,97585,Occupational Certificate: Millwright,2 Delfos Boulevard Vanderbijlpark Gauteng 1911,168893181,ansie.engelbrecht@arcelormittal.com,Nicolene van Emmenes,02-Aug-23,01-Aug-28
,Arcelormittal South Africa Ltd,AC-TTC020823212158,94020,Occupational Certificate: Fitter and Turner,2 Delfos Boulevard Vanderbijlpark Gauteng 1911,168893181,ansie.engelbrecht@arcelormittal.com,Nicolene van Emmenes,02-Aug-23,01-Aug-28
,Arcelormittal South Africa Ltd,AC-TTC020823212158,94021,Occupational Certificate: Mechanical Fitter,2 Delfos Boulevard Vanderbijlpark Gauteng 1911,168893181,ansie.engelbrecht@arcelormittal.com,Nicolene van Emmenes,02-Aug-23,01-Aug-28
,Artisan In Motion (Pty) Ltd,QCTOASC00210726-2514,94100,Occupational Certificate: Welder,"Anchor Industrial Park, Gate 4, Unit C3 Anchor Industrial Park, Cnr Springbok and Taljaard Roads, Bartlett Ext 7, Jet Park,Boksburg 1459",087 230 0329,irene@aimsa.net,Andre Van Greunen,09-Mar-22,08-Mar-27
,Artisan In Motion (Pty) Ltd,QCTOASC00210726-2514,94021,Occupational Certificate: Mechanical Fitter ,"Anchor Industrial Park, Gate 4, Unit C3 Anchor Industrial Park, Cnr Springbok and Taljaard Roads, Bartlett Ext 7, Jet Park,Boksburg 1459",087 230 0329,irene@aimsa.net,Andre Van Greunen,09-Mar-22,08-Mar-27
,Artisan In Motion (Pty) Ltd,QCTOASC00210726-2514,94701,"Occupational Certificate: Instrument
Mechanician","Anchor Industrial Park, Gate 4, Unit C3 Anchor Industrial Park, Cnr Springbok and Taljaard Roads, Bartlett Ext 7, Jet Park,Boksburg 1459",087 230 0329,irene@aimsa.net,Andre Van Greunen,09-Mar-22,08-Mar-27
,Artisan In Motion (Pty) Ltd,QCTOASC00210726-2514,91761,Occupational Certificate: Electrician,"Anchor Industrial Park, Gate 4, Unit C3 Anchor Industrial Park, Cnr Springbok and Taljaard Roads, Bartlett Ext 7, Jet Park,Boksburg 1459",087 230 0329,irene@aimsa.net,Andre Van Greunen,09-Mar-22,08-Mar-27
,Atholl Munday Training Centre,05-QCTO/AC-TTC171122104355,94100,Occupational Certificate: Welder,"1 Dickens Road, Umbongintwini
Durban KwaZulu-Natal 4120",837026421,Happiness@amtckzn.co.za,Happiness Kanofema,17-Nov-22,16-Nov-27
,Baizl Technologies (Pty) Ltd,08-QCTO/AC-TTC260523131250,94100,Occupational Certificate: Welder,"15 Melodies Street, Klarinet
Emalahleni Mpumalanga 1040",013 110 1174,m.mabuza@baziltechnologies.co.za,Mpilo Mabuza,26-May-23,25-May-28
,Belcomec Training (Pty) Ltd,AC-TTC140723121359,97592,Occupational Certificate: Diesel Mechanic,"7 Fabriek Street, George Industries
George Western Cape 6529",448740018,ronel@belcomectraining.co.za,Petronela van Molledorf,14-Jul-23,13-Jul-28
,Belcomec Training (Pty) Ltd,AC-TTC140723121359,97990,Occupational Certificate: Automotive Motor Mechanic,"7 Fabriek Street, George Industries
George Western Cape 6529",448740018,ronel@belcomectraining.co.za,Petronela van Molledorf,14-Jul-23,13-Jul-28
,Belcomec Training (Pty) Ltd,AC-TTC140723121359,91761,Occupational Certificate: Electrician,"7 Fabriek Street, George Industries
George Western Cape 6529",448740018,ronel@belcomectraining.co.za,Petronela van Molledorf,14-Jul-23,13-Jul-28
,Belcomec Training Pty Ltd  ,AC-TTC150922124400,93627,Occupational Certificate: Bricklayer  ,"7 Fabriek Street, George Industries
George 6529",044 874 0018,ronel@belcomectraining.co.za,Petronela van Molledorf,14-Sep-22,13-Sep-27
,Belcomec Training Pty Ltd  ,AC-TTC150922124400,91782,Occupational Certificate: Plumber,"7 Fabriek Street, George Industries
George 6529",044 874 0018,ronel@belcomectraining.co.za,Petronela van Molledorf,14-Sep-22,13-Sep-27
,Blacken Group,07-QCTO/AC-TTC150224143539,91761,Occupational Certificate: Electrician,"96 Major Road, Clayville East Olifantsfontein
Gauteng 1666",112034552,kp@gmail.com,P Khumalo,15-Feb-24,14-Feb-29
,Blue Print Engineering (Pty) Ltd,AC-TTC051223165146,93626,"Occupational Certificate: Boilermaker
",31 Ossewa Street Chloorkop Gauteng 1619,721370128,m@lesetjaledwaba@gmail.com,Lesetja Ledwaba,05-Dec-23,04-Dec-28
,BMW Midrand Pty Ltd ,AC-TTC150922123913,97990,Occupational Certificate: Motor Mechanic,"1 Bavaria Avenue, Randjiespark, Midrand 1682",125222994,Sudeer.singh@bmw.co.za,Sudeer Singh,14-Sep-22,13-Sep-27
,Boland TVET College,01-QCTO/AC-TTC140922110407,94100,Occupational Certificate: Welder,"No 1 Rainier Street, Worcester 6850",021 886 7111 / 072 375 4751,davidc@bolandcollege.com,Derrick Matthee,15-Sep-22,14-Sep-27
,Burgandy Rose Trading 27,QCTOASC00210726-2526,101697,Occupational Certificate: Chef,"7 van Vuuren Avenue, Groenvlei
Bloemfontein 9301",051 451 9122 / 083 456 5623,chef@fbibfn.co.za ,Lesley Jacobs,23-May-22,22-May-27
,Bustque (Pty) Ltd,07-QCTO/AC-TTC130323230818,102497,Occupational Certificate: Hairdresser,"319 Ontdekkers Rd, Ontdekkers
Park Roodepoort Gauteng 1709",117637667,louise@blushacademy.co.za,Van Der Merwe Louise,13-Mar-23,12-Mar-28
,Cape Town Metro PoliceTraining Academy,AC-TTC030823093255,97639,Occupational Certificate: Traffic Officer,"C/O Lower Main and Station Street
Observatory Western Cape 8000",214430978,granny.sebake@rtmc.co.za,Bradley Lackay,02-Aug-23,01-Aug-28
,Cape Town Metro PoliceTraining Academy,AC-TTC030823093255,101875,Occupational Certificate: Road Traffic Safety Officer,"C/O Lower Main and Station Street
Observatory Western Cape 8000",214430978,granny.sebake@rtmc.co.za,Bradley Lackay,02-Aug-23,01-Aug-28
,Centurion Akademie (Pty) Ltd,AC-TTC140723102206,102497,Occupational Certificate: Hairdresser,"48 Charles De Gaulle Crescent, Highveld
Centurion Gauteng 0157",126489700,elise@ca2000.co.za,Elise du Plessis,14-Jul-23,13-Jul-28
,Chefs Training and Innovation Academy (Pty) Ltd,AC-TTC261023143045,102296,Occupational Certificate: Cook,"1003 Saxby Road, Eldoraigne Centurion
Gauteng 0157",126540244,"corlene@ctia.co.za
Chef.ruds@ctia.co.za",Rudolph Van Wyk,26-Oct-23,25-Oct-28
,Churchil Technical College (Pty) Ltd,07-QCTO/AC-TTC081222152110,91761,Occupational Certificate: Electrician,"145 WF Nkomo Street, Pretoria West Pretoria Gauteng 0001",619434954,econyeari@yahoo.co.uk,Emmanuel Onyeari,08-Dec-22,07-Dec-27
,City of Johannesburg Emergency Management Services,07-QCTO/AC-TTC240723094253,98991,Occupational Certificate: Firefighter,Reitfontein Nirvana Rd Lenasia Gauteng,0112228181/ 083 239 2573,jarrodw@joburg.org.za,Webb Jarrod Hilary,24-Aug-23,23-Aug-28
,Clean Heat Academy (Pty) Ltd,07-QCTO/AC-TTC141122111836,94022,"Occupational Certificate: Carpenter
","13 Amelia Lane, Lanseria Corporate Eastate,Lanseria Gauteng 1739",011 708 6158 /                                    071 866 4835,vishailin@cleanheatsolar.com,Vishailin Govender,14-Nov-22,13-Nov-27
,Clean Heat Academy (Pty) Ltd,07-QCTO/AC-TTC141122111836,91782,Occupational Certificate: Plumber ,"13 Amelia Lane, Lanseria Corporate Eastate,Lanseria Gauteng 1739",011 708 6158 /                                    071 866 4835,vishailin@cleanheatsolar.com,Vishailin Govender,14-Nov-22,13-Nov-27
,Clean Heat Academy (Pty) Ltd,07-QCTO/AC-TTC141122111836,93627,Occupational Certificate: Bricklayer,"13 Amelia Lane, Lanseria Corporate Eastate,Lanseria Gauteng 1739",011 708 6158 /                                    071 866 4835,vishailin@cleanheatsolar.com,Vishailin Govender,14-Nov-22,13-Nov-27
,Clover (Pty) Ltd,07-QCTO/AC-TTC240823162044,102918,Occupational Certificate: Fresh Dairy Products Maker,"36 Spanner Road, Clayville Industrial Olifantsfontein
Gauteng 1666",614857038,mareli@fmcgts.co.za,Mareli Prinsloo,24-Aug-23,23-Aug-28
,Clover (Pty) Ltd,05-QCTO/AC-TTC240823162543,102919,"Occupational Certificate: Butter Maker
","100 Richmond Road Queensburgh KwaZulu-Natal
4064",614857038,mareli@fmcgts.co.za,Mareli Prinsloo,24-Aug-23,23-Aug-28
,Clover (Pty) Ltd,05-QCTO/AC-TTC240823162543,103097,Occupational Certificate: Processed Cheese Maker ,"100 Richmond Road Queensburgh KwaZulu-Natal
4064",614857038,mareli@fmcgts.co.za,Mareli Prinsloo,24-Aug-23,23-Aug-28
,Clover (Pty) Ltd,05-QCTO/AC-TTC240823162543,103129,Occupational Certificate: Ripened Cheesemaker,"100 Richmond Road Queensburgh KwaZulu-Natal
4064",614857038,mareli@fmcgts.co.za,Mareli Prinsloo,24-Aug-23,23-Aug-28
,Clover (Pty) Ltd,05-QCTO/AC-TTC240823162543,102917,Occupational Certificate: Fermented Dairy Products Maker,"100 Richmond Road Queensburgh KwaZulu-Natal
4064",614857038,mareli@fmcgts.co.za,Mareli Prinsloo,24-Aug-23,23-Aug-28
,Coastal KZN TVET College,AC-TTC231123180434,102497,Occupational Certificate: Hairdresser,"01 Jameson Crescent, Congella Durban
KwaZulu-Natal",319145143,Mcleodd.ckzcao@kzntvet.edu.za,D McLeod,23-Nov-23,22-Nov-28
,Coega Dairy (Pty) Ltd,02-QCTO/AC-TTC240823162928,103129,Occupational Certificate: Ripened Cheesemaker,"Zone 3, Cable Road, Coega IDZ Port Elizabeth
Eastern Cape 6100",414050000,Portia@coegadairy.com,Portia May,24-Aug-23,23-Aug-28
,Coega Dairy (Pty) Ltd,02-QCTO/AC-TTC240823162928,103097,Occupational Certificate: Processed Cheese Maker ,"Zone 3, Cable Road, Coega IDZ Port Elizabeth
Eastern Cape 6100",414050000,Portia@coegadairy.com,Portia May,,
,Coega Dairy (Pty) Ltd,02-QCTO/AC-TTC240823162928,102919,"Occupational Certificate: Butter Maker
","Zone 3, Cable Road, Coega IDZ Port Elizabeth
Eastern Cape 6100",414050000,Portia@coegadairy.com,Portia May,,
,College of Cape Town,QCTOASC00210429- 2321,94020,"Occupational Certificate:
Fitter and Turner","Corner Cedar and Poplar Road – Thornton Campus, Cape Town",213519124,cbeeming@cct.edu.za,Frikkie O’Connell,30-Apr-21,30-Apr-26
,College of Cape Town,QCTOASC00210429- 2321,94021,"Occupational Certificate:
Mechanical Fitter","Corner Cedar and Poplar Road – Thornton Campus, Cape Town",213519124,cbeeming@cct.edu.za,Frikkie O’Connell,30-Apr-21,30-Apr-26
,College of Cape Town,QCTOASC00210429- 2321,94100,"Occupational Certificate:
Welder","Corner Cedar and Poplar Road – Thornton Campus, Cape Town",213519124,cbeeming@cct.edu.za,Frikkie O’Connell,30-Apr-21,30-Apr-26
,College of Cape Town,QCTOASC00210429- 2320,97990,Occupational Certificate: Automotive Motor Mechanic,Corner Eland and Protea Street – Athlone Cape Town,216379183,cbeeming@cct.edu.za,Alfred Ramahlape,30-Apr-21,30-Apr-26
,College of Cape Town,QCTOASC00210429- 2320,97592,"Occupational Certificate:
Diesel Mechanic",Corner Eland and Protea Street – Athlone Cape Town,216379183,cbeeming@cct.edu.za,Alfred Ramahlape,30-Apr-21,30-Apr-26
,College Of Cape Town (Wynberg Campus),QCTOASC00210726-2524,102497,Occupational Certificate: Hairdresser,"31 Broad Road
Wynberg 7800",021 797 5540,Bmaasdorp@cct.edu.za,Brenda Maasdorp,23-May-22,22-May-27
,College of Cape Town TVET College,QCTOASC00200128- 1897,101697,Occupational Certificate: Chef,"Corner Long Market and Buitenkant Street, Cape Town",214622053,msolomon@cct.edu.ca,Marsha Solomon,16-Feb-21,16-Feb-26
,College of Cape Town,QCTOASC00210429-2319,91761,Occupational Certificate: Electrician,Jan Smuts Avenue – Pinelands Cape Town,215319124,cbeeming@cct.edu.za,"Frikkie
O’Connell",30-Apr-21,30-Apr-26
,Colliery Training Centre (Pty) Ltd,08-QCTO/AC-TTC250124142808,91761,Occupational Certificate: Electrician,"Corner, OR Tambo & Stevenson Street Klipfontein
Emalahleni Mpumalanga 1034",0136923121/237,elijahn@ctctraining.co.za kshoba@ctctraining.co.za,Elijah Nkabinde,25-Jan-24,24-Jan-29
,Colliery Training Centre (Pty) Ltd,08-QCTO/AC-TTC250124142808,97592,Occupational Certificate: Diesel Mechanic,"Corner, OR Tambo & Stevenson Street Klipfontein
Emalahleni Mpumalanga 1034",0136923121/237,elijahn@ctctraining.co.za kshoba@ctctraining.co.za,Elijah Nkabinde,25-Jan-24,24-Jan-29
,Colliery Training Centre (Pty) Ltd,08-QCTO/AC-TTC250124142808,93626,"Occupational Certificate: Boilermaker
","Corner, OR Tambo & Stevenson Street Klipfontein
Emalahleni Mpumalanga 1034",0136923121/237,elijahn@ctctraining.co.za kshoba@ctctraining.co.za,Elijah Nkabinde,25-Jan-24,24-Jan-29
,Colliery Training Centre (Pty) Ltd,08-QCTO/AC-TTC250124142808,94100,Occupational Certificate: Welder    ,"Corner, OR Tambo & Stevenson Street Klipfontein
Emalahleni Mpumalanga 1034",0136923121/237,elijahn@ctctraining.co.za kshoba@ctctraining.co.za,Elijah Nkabinde,25-Jan-24,24-Jan-29
,Colliery Training Centre (Pty) Ltd,08-QCTO/AC-TTC250124142808,97585,Occupational Certificate: Millwright,"Corner, OR Tambo & Stevenson Street Klipfontein
Emalahleni Mpumalanga 1034",0136923121/237,elijahn@ctctraining.co.za kshoba@ctctraining.co.za,Elijah Nkabinde,25-Jan-24,24-Jan-29
,Colliery Training Centre (Pty) Ltd,08-QCTO/AC-TTC250124142808,102856,Occupational Certificate: Rigger,"Corner, OR Tambo & Stevenson Street Klipfontein
Emalahleni Mpumalanga 1034",0136923121/237,elijahn@ctctraining.co.za kshoba@ctctraining.co.za,Elijah Nkabinde,25-Jan-24,24-Jan-29
,Colliery Training Centre (Pty) Ltd,08-QCTO/AC-TTC250124142808,94020,"Occupational Certificate: Fitter and Turner
","Corner, OR Tambo & Stevenson Street Klipfontein
Emalahleni Mpumalanga 1034",0136923121/237,elijahn@ctctraining.co.za kshoba@ctctraining.co.za,Elijah Nkabinde,25-Jan-24,24-Jan-29
,Complete School of Hairdressing Roodepoort (Pty) Ltd,07-QCTO/AC-TTC270223103524,102497,Occupational Certificate: Hairdresser,"Building 1, Ruimsig Office Estate, Hole In One Road, Ruimsig
Roodepoort Gauteng 1724",608359406,Chantellejordaan@mweb.co.za,Chantelle Jordan,20-Feb-23,19-Feb-28
,Construction Resource Development College,QCTOASC00210726-2521,93627,Occupational Certificate: Bricklayer,"2 Surprise Road, Westmead
Pinetown 3610",031 701 6514,cedrich@crdc.co.za,Mr C Hendricks,28-Mar-22,27-Mar-27
,Construction Resource Development College,QCTOASC00210726-2521,91782, Occupational Certificate: Plumber,"2 Surprise Road, Westmead
Pinetown 3610",031 701 6514,cedrich@crdc.co.za,Mr C Hendricks,28-Mar-22,27-Mar-27
,Construction Resource Development College (Pty) Ltd,AC-TTC140723120701,91782,Occupational Certificate: Plumber,"14 Livingstone Road, Unit No 6
Pinetown KwaZulu-Natal 3610",317016514,admin@crdc.co.za,Vernom Hendricks,14-Jul-23,13-Jul-28
,Construction Resource Development College (Pty) Ltd,AC-TTC140723120701,94022,Occupational Certificate: Carpenter,"14 Livingstone Road, Unit No 6
Pinetown KwaZulu-Natal 3610",317016514,admin@crdc.co.za,Vernom Hendricks,14-Jul-23,13-Jul-28
,Construction Resource Development College (Pty) Ltd,AC-TTC140723120701,93627,Occupational Certificate: Bricklayer,"14 Livingstone Road, Unit No 6
Pinetown KwaZulu-Natal 3610",317016514,admin@crdc.co.za,Vernom Hendricks,14-Jul-23,13-Jul-28
,Cookhouse Creamery (Pty) Ltd,02-QCTO/AC-TTC240823163630,103129,Occupational Certificate: Ripened Cheesemaker,"Somerset Road, Cookhouse Newtown Eastern Cape 5820",420070504,facman@cookhousecreamery.co.za,Rasmus Francois Esterhuyse,24-Aug-23,23-Aug-28
,Customised Training Specialists (Pty) Ltd,05-QCTO/AC-TTC250723123528,102580,Occupational Certificate: Production Process Machine Operator and Assembler,"43 Livingstone Road Pinetown
KwaZulu-Natal 3610",0317 013 198,shakti@ctssa.co.za,Singh Shakti,24-Aug-23,23-Aug-28
,Delcom Training Institute NPC,AC-TTC191023182114,91761,Occupational Certificate: Electrician ,Corner of No 22 Joubert and Commissioner Streets Johannesburg Gauteng 2000,118380225,Delcomtraining@gmail.com,Mathieu Ngounou,19-Oct-23,18-Oct-28
,Didinhle Oreatlile Consulting (Pty) Ltd,07-QCTO/AC-TTC191022231951,91761,"Occupational Certificate: Electrician
","Plot 25 Karee Stree, Pumlani AH
Pretoria Gauteng 0001",829980314,Morgan2mo@gmail.com,Morgan Moagi Mampane,14-Nov-22,13-Nov-27
,Didinhle Oreatlile Consulting (Pty) Ltd,07-QCTO/AC-TTC191022231951,93626,Occupational Certificate: Boilermaker,"Plot 25 Karee Stree, Pumlani AH
Pretoria Gauteng 0001",829980314,Morgan2mo@gmail.com,Morgan Moagi Mampane,14-Nov-22,13-Nov-27
,Didinhle Oreatlile Consulting (Pty) Ltd,07-QCTO/AC-TTC191022231951,94100,Occupational Certificate: Welder,"Plot 25 Karee Stree, Pumlani AH
Pretoria Gauteng 0001",829980314,Morgan2mo@gmail.com,Morgan Moagi Mampane,14-Nov-22,13-Nov-27
,Durban Metro Police Department Academy,AC-TTC030823094451,97639,Occupational Certificate: Traffic Officer,"Anderson Road, Lahee Park
Pinetown KwaZulu-Natal 4000",833882624,granny.sebake@rtmc.co.za,Geraldine Stevens,02-Aug-23,01-Aug-28
,Durban Metro Police Department Academy,AC-TTC030823094451,101875,Occupational Certificate: Road Traffic Safety Officer,"Anderson Road, Lahee Park
Pinetown KwaZulu-Natal 4000",833882624,granny.sebake@rtmc.co.za,Geraldine Stevens,02-Aug-23,01-Aug-28
,Durban South Training Centre Trust,QCTOASC00210726-2532,94100,Occupational Certificate: Welder,"50 Prospecton Road, Prospecton
Durban 4133",823483098,Naidooth@sapref.com,Thasigan Naidoo,02-Jun-22,01-Jun-27
,Durnacol Skills Hub (Pty) Ltd,05-QCTO/AC-TTC150323010219,94100,Occupational Certificate: Welder,"1 Willow Street
Durnacol KwaZulu-Natal 3082",034 622 5040,shavind@dsih.co.za,Shavin Dookie,12-Mar-23,11-Mar-28
,Durnacol Skills Hub (Pty) Ltd,05-QCTO/AC-TTC150323010219,94020,Occupational Certificate: Fitter and Turner,"1 Willow Street
Durnacol KwaZulu-Natal 3082",034 622 5040,shavind@dsih.co.za,Shavin Dookie,12-Mar-23,11-Mar-28
,Durnacol Skills Hub (Pty) Ltd,05-QCTO/AC-TTC150323010219,97592,Occupational Certificate: Diesel Mechanic,"1 Willow Street
Durnacol KwaZulu-Natal 3082",034 622 5040,shavind@dsih.co.za,Shavin Dookie,12-Mar-23,11-Mar-28
,Durnacol Skills Hub (Pty) Ltd,05-QCTO/AC-TTC150323010219,94021,Occupational Certificate: Mechanical Fitter,"1 Willow Street
Durnacol KwaZulu-Natal 3082",034 622 5040,shavind@dsih.co.za,Shavin Dookie,12-Mar-23,11-Mar-28
,Durnacol Skills Hub (Pty) Ltd,05-QCTO/AC-TTC150323010219,93626,Occupational Certificate: Boilermaker,"1 Willow Street
Durnacol KwaZulu-Natal 3082",034 622 5040,shavind@dsih.co.za,Shavin Dookie,12-Mar-23,11-Mar-28
,Durnacol Skills Hub (Pty) Ltd,05-QCTO/AC-TTC150323010219,97585,Occupational Certificate: Millwright,"1 Willow Street
Durnacol KwaZulu-Natal 3082",034 622 5040,shavind@dsih.co.za,Shavin Dookie,12-Mar-23,11-Mar-28
,Durnacol Skills Hub (Pty) Ltd,05-QCTO/AC-TTC150323010219,91761,Occupational Certificate: Electrician,"1 Willow Street
Durnacol KwaZulu-Natal 3082",034 622 5040,shavind@dsih.co.za,Shavin Dookie,12-Mar-23,11-Mar-28
,Durnacol Skills Hub (Pty) Ltd,05-QCTO/AC-TTC150323010219,97990,Occupational Certificate: Automotive Motor Mechanic,"1 Willow Street
Durnacol KwaZulu-Natal 3082",034 622 5040,shavind@dsih.co.za,Shavin Dookie,12-Mar-23,11-Mar-28
,Eastcape Midlands TVET College,02-QCTO/AC-TTC260523132405,94100,Occupational Certificate: Welder,"2 Brickfields Road, Uitenhage
Uitenhage Eastern Cape 6230",082 926 3455,danie@emcol.co.za,Danie Burger,26-May-23,25-May-28
,EBS Training Academy (Pty) Ltd,08-QCTO/AC-TTC260523132709,94100,Occupational Certificate: Welder,"6 Laboratory Road, Klipfontein
Witbank Mpumalanga 1035",013 692 3623,Kobus.pieterse@ebs-eduardo.co.za,Kobus Venter,26-May-23,25-May-28
,Eden Hospitality Service and Training Unit (Pty) Ltd,AC-TTC201023171902,101697,Occupational Certificate: Chef,"Farm 208, R 102, Airport Road George Western Cape 6529",(044) 884 0791,ronnelie@uxi-ad.co.za,Ronnelie Nieuwenhuis,20-Oct-23,19-Oct-28
,Eden Hospitality Service and Training Unit (Pty) Ltd,AC-TTC201023171902,102296,Occupational Certificate: Cook,"Farm 208, R 102, Airport Road George Western Cape 6529",(044) 884 0791,ronnelie@uxi-ad.co.za,Ronnelie Nieuwenhuis,20-Oct-23,19-Oct-28
